27,Which statement best reflects Julia’s views toward rebellion?,"At work one morning, Winston walks toward the men’s room
and notices the dark-haired girl with her arm in a sling. She falls,
and when Winston helps her up, she passes him a note that reads
“I love you.” Winston tries desperately to figure out the note’s
meaning. He has long suspected that the dark-haired girl is a political
spy monitoring his behavior, but now she claims to love him. Before
Winston can fully comprehend this development, Parsons
interrupts him with talk about his preparations for Hate Week. The
note from the dark-haired girl makes Winston feel a sudden, powerful
desire to live.","Like Winston, Julia believes that rebellion will come from the proles.","Unlike Winston, Julia has no interest in rebellion.",Julia believes that an awareness of sex will lead to mass rebellion within the Party.,Julia believes that the Party is actually a good thing.,1
28,What does Winston tell Julia about his wife in Chapter 3?,"Winston tells Julia about a walk he once took with his
ex-wife Katherine, during which he thought about pushing her off
of a cliff. He says that it would not have mattered whether he pushed
her or not, because it is impossible to win against the forces of
oppression that govern their lives.",That Winston once thought about pushing Julia over a cliff,That Winston truly loved Julia,That Winston feels responsible for Julia
29,What has prevented Julia and Winston from meeting more frequently?,"Winston looks around the little room above Mr. Charrington’s shop,
which he has rented—foolishly, he thinks—for his affair with Julia. Outside, a burly, red-armed woman sings a song and hangs up her
laundry. Winston and Julia have been busy with the city’s preparations
for Hate Week, and Winston has been frustrated by their inability
to meet. The problem was exacerbated by the fact that Julia has
had her period. Winston wishes that he and Julia could lead a more
leisurely, romantic life, like an old, married couple.",Julia has started to see another man.,Winston’s superiors at the ministry have become suspicious of his activities.,Winston and Julia have been busy with preparations for Hate Week.,Winston is unsure of his feelings toward Julia.,2
142,Why does Kitty help D’Artagnan intercept Milady’s correspondence with the Comte de Wardes?,"All suspicions are now confirmed. Milady is a Cardinalist agent and a sinister villain. D'Artagnan is determined to have his revenge; he uses Kitty to intercept correspondences between Milady and the Comte. He sends her a false letter under the Comte's name, making an assignation to meet at her house. Kitty helps d'Artagnan because she loves him; for his part, d'Artagnan pretends to return her feelings, even having sex with her to make his act convincing.",Kitty loves D’Artagnan,Kitty hates Milady,Kitty hates the Cardinal,Kitty likes all intrigue,0
146,What remains ambiguous to D’Artagnan after his brief meeting with Madame Bonacieux on the bridge?,"D'Artagnan waits at the appointed spot on the bridge to meet Madame Bonacieux, who suddenly races by in a carriage, blowing him a kiss as she passes. D'Artagnan can't figure out whether this means she is safe or still the Cardinal's prisoner. Perplexed by the mystery, he and his friends move on to meet the Cardinal.",Why D’Artagnan loves Madame Bonacieux,Whether Madame Bonacieux loves D’Artagnan,Whether Madame Bonacieux is safe,What side Madame Bonacieux supports,2
148,How does Milady attempt to kill D’Artagnan before the siege of La Rochelle?,"Shortly thereafter, the musketeers--without d'Artagnan who, as a guard, has less freedom while on duty--run into the Cardinal himself while dining at an inn. He enlists them as his personal bodyguards, and they follow him to a secret meeting. While they are waiting downstairs, Athos realizes he can hear the Cardinal speaking through the pipes of the stove. He hears Milady's voice as well. The Cardinal instructs Milady to go to Britain with a message for Buckingham--he must either desist in his war against France, or the Cardinal will expose his affairs with the Queen. If the Duke does not comply, the Cardinal outlines how Milady should arrange his assassination. Milady entreats the Cardinal to avenge her on d'Artagnan by throwing him in the Bastille, and finding out where Madame Bonacieux is. The Cardinal reluctantly agrees, and leaves Milady to perform his orders.",Dispatches two assassins,Sends D’Artagnan poisoned wine,Sabotages D’Artagnan's armor,Answers A. and B.,3
225,What does Podrick reveal to Tyrion that he did to Mandon?,"Tyrion lies in a bed in the castle, recovering from his wounds. He dreams of all the men who died as a result of his battle, of a great victory feast, and his first love. He wakes and gets the maester attending him to remove his bandages. Tyrion suspects that Cersei ordered Mandon to kill him during the battle. He learns from the maester that Tywin and the Tyrells saved the city. He asks for Podrick, his page. Tyrion tells Podrick to find a more trustworthy maester to attend him and to locate Bronn. Podrick tells him that he drowned Mandon. Tyrion tells Podrick to say nothing to anyone.",Exiled Mandon,Drowned Mandon,Hanged Mandon,Tortured Mandon,1
227,What does Luwin ask Osha to do for him in the godswood?,"Luwin tells them about the hostilities all over the north and says that Osha must separate Bran and Rickon for their safety. Luwin asks Osha to put him out of his misery, which she does after sending the boys away from the godswood. They find some supplies in the kitchens, and Osha takes Rickon and Shaggydog one way, while Bran, Hodor, Jojen, Meera, and Summer go another. Bran asks whether they will go to the Reeds’ home, but Jojen says that their way is north. As they leave, Bran looks back at Winterfell and realizes that, like him, it is damaged but not destroyed.",End Luwin's misery,Tend to Luwin's wounds,Avenge Luwin's death,Succeed Luwin's as maester,0
255,What advantage does Daenerys plan to use in order to retake her family’s throne?,"Daenerys and her people arrive at the magnificent city of Qarth. Daenerys stays in the luxurious house of Xaro Xhoan Daxos, a wealthy merchant. Jorah goes to the docks and returns to Daenerys with a ship captain who tells her that Robert Baratheon has died and that the Seven Kingdoms are in chaos. Daenerys announces her plans to use her dragons to retake her family’s throne.",Daenerys enormous army,Daenerys illustrious name,Daenerys dragons,Daenerys sway over men,2
324,What day is Hetty’s execution scheduled for?,"Dinah goes to see Adam to ask him to visit Hetty before
she is executed. He says he cannot until the very last moment, but
he promises to come the morning of her death if there has been no
stay of execution. In the morning, Adam prepares to go see Hetty
and realizes that it is the day that they were supposed to be married. Mr. Massey tries to comfort Adam by saying that some good might
come of this suffering, but Adam reacts violently to that idea. From Mr. Massey’s point of view, Hetty will always have suffered,
so no other good can redeem that suffering. When Adam reaches the
cell door, he is still so troubled that he is trembling. After a
moment, he sees Hetty and is deeply saddened by her appearance. Consoling Hetty, Dinah urges Hetty to speak to Adam. Helpless and
clutching Dinah, Hetty asks for his forgiveness. Adam says he forgave
her long ago. Holding out her hand, Hetty asks Adam for a kiss for
the way she’s treated him. They kiss goodbye. Hetty’s voice is firmer
when she asks Adam to tell Captain Donnithorne that she cursed him
once, but Dinah says she should forgive him or else God will not
forgive her.",Hetty’s wedding date,Easter Sunday,Hetty’s birthday,Christmas Eve,0
330,"When Dinah is returning to Snowfield, how does she react when Adam says that he knows she will always do what is right?","Adam goes to Hall Farm while the others are at church
so he can see Dinah alone. After he confesses his love for her,
she admits that she loves him too. When he proposes, however, she
says that she cannot marry him because she does not think it is
God’s will. Her fear is that if she lives with him, she will cease
to feel compassion for the poor and will not be able to help those
in need. Adam argues that she will be able to help others better
because she will be more filled with love, just as a worker can
do better work with more knowledge. They agree that she will go
back to Snowfield for a time to see whether God’s will becomes clearer
to her. Adam and Dinah walk out together in the fields, and they
encounter the Poysers. Mr. Poyser tells Mrs. Poyser that he believes
Adam loves Dinah. Mrs. Poyser claims to have known this all along
but says she does not believe Dinah will marry him. Everyone urges
Adam to come to the Harvest Supper and Dinah to stay at least that
long. Adam promises to come, but Dinah does not promise to stay.",Dinah laughs,Dinah prays,Dinah cries,Dinah kisses him,2
383,What happens when Robert reaches down Apron’s throat to pull out the object that’s suffocating her?,"All is not well, however, as Apron begins gasping for air and half falls on top of Robert and stops breathing. Thinking that Apron is probably choking on something, Robert shoves his hand way down her throat and finds a hard ball. He tries to rip it out, but Apron bites him and then gets up and begins running again. Robert is dragged by the arm under the constant assault of Apron's front hoofs and finally passes out.",Robert successfully removes it,Robert pushes it deeper,Robert loses his arm,Apron drags Robert around,3
393,What does Robert want Ira and Haven to do with the badly wounded Hussy?,"""Kill her,"" Robert says, and when Ira responds in disbelief, he tells Ira that Hussy is dying and that the merciful thing to do would be to kill her. Ira remains, unsure of what to do, and Haven replies that he will kill Hussy to put her out of her misery.",Abandon Hussy,Tend to Hussy's wounds,Put Hussy up for adoption,Kill Hussy,3
394,"According to Haven, what should Pinky have had long ago?","At this point Mrs. Peck calls the men in for supper, but they pick up the conversation afterward when everyone else has gone to bed. Robert tells his dad how he needs a new coat for the winter. Instead of having Mrs. Peck make him a new coat, Robert wants a new one from he store because he greatly admires the one the Jacob Henry has. He understands that the family can't afford to buy him a new coat but still wants all the same. Then, Robert defeatedly asks, ""I guess I'll never have a new coat like that. Can I?"" Haven replies that he can have a coat like that when he earns one and tells him that he will be a man one day soon. "" Someday,"" Robert responds. "" It has to be now,"" Haven responds, and then he tells his son how he expects that the coming winter will be his last. Robert tries to argue, but he believes that his father knows what he says. Haven tells Robert that he will have to mind the farm and look after Mrs. Peck and Aunt Carrie. Robert reaches out and touches his father's sleeve and feels a shiver run through his body. Still not wanting to believe what was said, he waits for something to be said, but Haven just gets up and takes a coal from the fire to warm his bed and leaves. Robert sits still by the fire, waiting for it to die, ""so that it will not have to die alone.""",Pinky's first heat,Pinky's spaying,Pinky's first birthday party,Pinky's vaccines,0
398,What does Haven tell Robert that the coming winter will be?,"At this point Mrs. Peck calls the men in for supper, but they pick up the conversation afterward when everyone else has gone to bed. Robert tells his dad how he needs a new coat for the winter. Instead of having Mrs. Peck make him a new coat, Robert wants a new one from he store because he greatly admires the one the Jacob Henry has. He understands that the family can't afford to buy him a new coat but still wants all the same. Then, Robert defeatedly asks, ""I guess I'll never have a new coat like that. Can I?"" Haven replies that he can have a coat like that when he earns one and tells him that he will be a man one day soon. "" Someday,"" Robert responds. "" It has to be now,"" Haven responds, and then he tells his son how he expects that the coming winter will be his last. Robert tries to argue, but he believes that his father knows what he says. Haven tells Robert that he will have to mind the farm and look after Mrs. Peck and Aunt Carrie. Robert reaches out and touches his father's sleeve and feels a shiver run through his body. Still not wanting to believe what was said, he waits for something to be said, but Haven just gets up and takes a coal from the fire to warm his bed and leaves. Robert sits still by the fire, waiting for it to die, ""so that it will not have to die alone.""",Extremely cold,Extremely long,Pinky’s last winter,Haven’s last winter,3
422,What does Haven do when Mr. Tanner offers Robert a piglet?,"As the fence conversation ends, Haven and Robert both look up to see Mr. Tanner heading in their direction with Apron behind him. Underneath Apron, trying to get hold of an udder, are two handsome twin calves. Robert is stunned that there were two cows, not just one, and by how beautiful they are. Mr. Tanner explains that he is calling them Bob and Bib, with Bob's name coming from Robert. He thanks Haven and Robert and explains how it has always been his dream to take a pair of matched oxen to the Rutland fair. Then, as if offhandedly, he thanks Robert again and says, ""Here's a pig for your trouble,"" and produces a fuzzy ball of a piglet from under his coat. Robert is dumbfounded by the gift and, after thanking Mr. Tanner, takes hold of the pig for the first time.",Nothing,Takes the piglet himself,Thanks Mr. Tanner profusely,Tries to decline the piglet,3
428,"What are the Pecks rich in, according to Haven?","Haven stays mostly quiet while Robert goes off, and when the tirade about Abner Doubleday is over, he says, ""Thanks be praised all the history I need's in our Family Bible … And in the book of Shaker."" Robert then tells him that Miss Malcolm thinks that all Vermonters should be proud of their heroes like Ethan Allen and Calvin Coolidge. Robert asks if Haven had voted for Calvin Coolidge, and Haven tells him that he was not allowed to vote because of his illiteracy. "" Men look at me and do not take me for what I be,"" because he wears plain clothes and can only sign an 'X'. Robert asks if that makes him heartsick, and Haven replies that is does not, ""because I am rich and they are poor."" Robert tries to respond that they are not rich, but Haven interrupts them and explains that they are rich in all the things that they needed. Still not fully convinced, Robert says that, ""it seems to me what we have most is work and dirt."" Haven replies that though the work is hard, in another year, the dirt will be completely theirs, and that is why he slaughters pigs, because it is his, ""mission."" Robert asks if that is the mission that they talk about in prayer meetings, and Haven replies that it is and that he is just glad to be in the picture of things in Vermont. He explains that Vermont is a good state because it is so simple. "" We can turn grass into milk and corn into hogs,"" he expounds proudly.",Love,Livestock,Money,What the Pecks need,3
435,What does Robert make the mistake of showing off after returning home from his last day of school?,"Skipping ahead to June, Robert walks home from school on the last day of class. It is hot and dry, and he watches a coach roll by, kicking up a snakelike trail of dust as it rolls toward the horizon. As he approaches the farm, Robert sees Pinky milling about near her corn cratch, and he calls out to her. Pinky responds to the call, but she by now she is almost as big as Robert, so she is a lot slower to run toward him than she was in April. After rolling around in the grass for a while, Robert heads for the house, where Mrs. Peck is waiting for him. She beckons Robert to come inside, where Robert discovers, to his dismay, that his Aunt Matty has dropped by for a visit.",Robert's final essay,Robert's scraped knee,Robert's report card,A candy Robert stole,2
437,What “remedy” does Aunt Matty propose for Robert’s “D” in English?,"He does as he is told, and then the tutoring begins. Aunt Matty rattles off three versions of a sentence and asks Robert which one was grammatically correct. Robert responds that he thought they all sounded right, and Aunt Matty responds that the problem is, ""Just as I expected from the first."" Robert does not know how to diagram a sentence. Aunt Matty endeavors to show him, but when he doesn't even know where to begin, she gets angry and ends up doing the whole sentence herself. "" Here,"" she tells him, sweating, ""Take it up to your room and pin it on the wall."" Robert does just that and then thanks Aunt Matty and gets ready to do his chores. As he is running toward the barn with Pinky close behind, he hears Aunty Matty telling Mrs. Peck, ""Next time, I'll teach the pig.""",Pulling Robert out of school,Tutoring Robert personally,Buying Robert a notebook,Confiscating Robert’s bicycle,1
456,What does Jupiter promise Venus when she expresses concern about Aeneas?,"Venus advises Aeneas to go into the city and talk to
the queen, who will welcome him. Aeneas and his friend Achates approach Carthage,
shrouded in a cloud that Venus conjures to prevent them from being
seen. On the outskirts of the city, they encounter a shrine to Juno
and are amazed to behold a grand mural depicting the events of the
Trojan War. Their astonishment increases when they arrive in Dido’s
court to find many of their comrades who were lost and
scattered in the storm asking Dido for aid in rebuilding their fleet. Dido
gladly grants their request and says that she wishes she could meet their
leader. Achates remarks that he and Aeneas were clearly told the truth
regarding their warm welcome, and Aeneas steps forward out of the
cloud. Dido is awestruck and delighted to see the famous hero. She invites
the Trojan leaders to dine with her in her palace.",Aeneas will be safe and his descendents will found the world's greatest empire.,Aeneas will have to find his own way to Italy from Carthage.,Aeneas will be the father of a great empire if he makes the correct sacrifices.,Aeneas will battle against Juno and emerge triumphant.,0
462,What does Aeneas do when he learns of Pallas's death?,"Word of Pallas’s death reaches Aeneas, who flies into
a rage. He hacks a bloody path through the Latin lines, looking
for Turnus and bent on vengeance. Terrified, some of the Latin soldiers
beg on their knees to be spared, but Aeneas slaughters them mercilessly,
and Turnus’s troops fall into chaos. Up on Olympus, Juno sees that
the battle is lost and asks Jupiter to let her spare Turnus from
death. Jupiter consents, so Juno flies down to the battlefield,
creates a phantom Aeneas, and sends the vision within sight of Turnus. He
chases the phantom onto one of the ships anchored nearby, but as soon as he boards the ship, Juno severs the
moorings and the ship floats out to sea. Powerless to return to
the battlefield, Turnus drifts until the wind carries him ashore
far down the coast.",Aeneas breaks down in tears and begs Jupiter to stop the battle.,Aeneas goes into a murderous rage and cuts down many of the Latins.,Aeneas challenges Turnus to single combat to avenge his friend.,Aeneas calls on Venus to turn the Latin soldiers into piles of dust.,1
471,What wound does Aeneas suffer as the battle begins?,"Jupiter sends down one of the Furies, who assumes the
form of a bird and flaps and shrieks in front of Turnus, filling
him with terror and weakening him. Seeing Turnus waver, Aeneas casts
his mighty spear and strikes Turnus’s leg, and Turnus tumbles to
the ground. As Aeneas advances, Turnus pleads for mercy for the
sake of his father. Aeneas is moved—but just as he decides to let
Turnus live, he sees the belt of Pallas tied around Turnus’s shoulder. As Aeneas remembers the slain youth, his rage returns in a surge. In the name of Pallas, Aeneas drives his sword into Turnus, killing
him.",Aeneas is stabbed in the arm by a spear.,Aeneas is shot in the leg with an arrow.,Aeneas is sliced across the chest by a sword.,Aeneas is hit in the face by a club.,1
